id,twin,dlhrwage,deduc1,deduc2,dten,dmarried,duncov,age,white,male,hrwage1,educ,sibling_educ,hrwage2,lnhrwage,dlnhrwage,deduc
102,1,-.6270074,-1,-1,-.417,-1,1,24.62423,1,1,9.36,16,15,5,2.236445,.6270072,1
102,2,-.6270074,-1,-1,-.417,-1,1,24.62423,1,1,9.36,15,16,5,1.609438,.6270072,1
103,1,-.3930426,-1,0,1,0,-1,57.68652,1,1,11.11111,13,12,7.5,2.407946,.3930426,1
103,2,-.3930426,-1,0,1,0,-1,57.68652,1,1,11.11111,12,13,7.5,2.014903,.3930426,1
104,1,.2513144,0,0,1,0,0,42.8501,1,1,14,16,16,18,2.639057,-.2513144,0
104,2,.2513144,0,0,1,0,0,42.8501,1,1,14,16,16,18,2.890372,-.2513144,0
105,1,-.4700036,0,0,-15.5,0,0,37.28405,1,0,8,12,12,5,2.079442,.4700036,0
105,2,-.4700036,0,0,-15.5,0,0,37.28405,1,0,8,12,12,5,1.609438,.4700036,0
106,1,-.9808292,0,-2,-2,0,0,45.39357,1,1,100,14,14,37.5,4.60517,.9808292,0
106,2,-.9808292,0,-2,-2,0,0,45.39357,1,1,100,14,14,37.5,3.624341,.9808292,0
107,1,-.0518373,2,-2,0,0,0,32.84326,1,0,8.71,14,16,8.27,2.164472,.0518372,-2
107,2,-.0518373,2,-2,0,0,0,32.84326,1,0,8.71,16,14,8.27,2.112635,.0518372,-2
108,1,,0,0,-.5,0,0,28.69268,1,1,,16,16,,,,0
108,2,,0,0,-.5,0,0,28.69268,1,1,,16,16,,,,0
109,1,0,1,1,-6.417,0,0,37.02396,1,1,10.5,12,13,10.5,2.351375,0,-1
109,2,0,1,1,-6.417,0,0,37.02396,1,1,10.5,13,12,10.5,2.351375,0,-1
110,1,0,0,0,0,0,0,37.83984,1,1,5,14,14,5,1.609438,0,0
110,2,0,0,0,0,0,0,37.83984,1,1,5,14,14,5,1.609438,0,0
111,1,-.0472529,0,0,-.3,0,0,31.06639,1,1,6.933333,16,16,6.613333,1.936341,.0472529,0
111,2,-.0472529,0,0,-.3,0,0,31.06639,1,1,6.933333,16,16,6.613333,1.889088,.0472529,0
112,1,.117783,-3,2,6.5,0,0,30.14921,1,1,6,15,12,6.75,1.791759,-.1177831,3
112,2,.117783,-3,2,6.5,0,0,30.14921,1,1,6,12,15,6.75,1.909543,-.1177831,3
113,1,,1,-1,15,1,0,78.64203,1,1,,12,13,,,,-1
113,2,,1,-1,15,1,0,78.64203,1,1,,13,12,,,,-1
114,1,.117783,2,0,4,0,0,37.85079,1,1,16,13,15,18,2.772589,-.1177831,-2
114,2,.117783,2,0,4,0,0,37.85079,1,1,16,15,13,18,2.890372,-.1177831,-2
115,1,0,-1,1,0,0,0,21.74127,1,0,5,14,13,5,1.609438,0,1
115,2,0,-1,1,0,0,0,21.74127,1,0,5,13,14,5,1.609438,0,1
116,1,-.04652,-2,-3,-1.5,0,0,42.77071,1,1,22,16,14,21,3.091043,.04652,2
116,2,-.04652,-2,-3,-1.5,0,0,42.77071,1,1,22,14,16,21,3.044523,.04652,2
117,1,-.117783,0,0,-8,0,-1,33.03765,1,1,18,15,15,16,2.890372,.1177831,0
117,2,-.117783,0,0,-8,0,-1,33.03765,1,1,18,15,15,16,2.772589,.1177831,0
118,1,.4812668,-1,0,4.5,0,0,27.41957,1,0,6.18,13,12,10,1.821318,-.4812669,1
118,2,.4812668,-1,0,4.5,0,0,27.41957,1,0,6.18,12,13,10,2.302585,-.4812669,1
119,1,,1,2,1,0,0,28.11499,1,1,,15,16,70,,,-1
119,2,,1,2,1,0,0,28.11499,1,1,,16,15,70,4.248495,,-1
120,1,.3158529,0,0,7,0,0,47.74264,1,0,6.25,10,10,8.571428,1.832582,-.3158529,0
120,2,.3158529,0,0,7,0,0,47.74264,1,0,6.25,10,10,8.571428,2.148434,-.3158529,0
121,1,,0,0,26,0,0,79.12389,1,0,,12,12,,,,0
121,2,,0,0,26,0,0,79.12389,1,0,,12,12,,,,0
122,1,-.1957446,0,0,5,0,0,51.33196,1,1,27.02703,18,18,22.22222,3.296837,.1957445,0
122,2,-.1957446,0,0,5,0,0,51.33196,1,1,27.02703,18,18,22.22222,3.101093,.1957445,0
123,1,,0,0,1.833,0,0,34.35181,1,0,6,12,12,,1.791759,,0
123,2,,0,0,1.833,0,0,34.35181,1,0,6,12,12,,,,0
124,1,.1823216,-1,-2,0,1,-1,36.94182,1,1,13,16,15,15.6,2.564949,-.1823215,1
124,2,.1823216,-1,-2,0,1,-1,36.94182,1,1,13,15,16,15.6,2.747271,-.1823215,1
125,1,.1628404,-1,0,-3.75,0,0,33.40726,1,1,9.33,14,13,10.98,2.233235,-.1628404,1
125,2,.1628404,-1,0,-3.75,0,0,33.40726,1,1,9.33,13,14,10.98,2.396075,-.1628404,1
126,1,.2425103,0,1,-2,-1,1,34.86653,1,1,7.258065,14,14,9.25,1.982113,-.2425102,0
126,2,.2425103,0,1,-2,-1,1,34.86653,1,1,7.258065,14,14,9.25,2.224623,-.2425102,0
127,1,-.6931472,0,0,-11.5,1,0,31.0308,1,0,12.5,12,12,6.25,2.525729,.6931472,0
127,2,-.6931472,0,0,-11.5,1,0,31.0308,1,0,12.5,12,12,6.25,1.832582,.6931472,0
128,1,0,3,3,4.333,-1,0,41.35798,1,0,17.5,13,16,17.5,2.862201,0,-3
128,2,0,3,3,4.333,-1,0,41.35798,1,0,17.5,16,13,17.5,2.862201,0,-3
129,1,-.7240691,-3,-3,-18,0,0,43.01985,1,0,12.48,15,12,6.05,2.524127,.724069,3
129,2,-.7240691,-3,-3,-18,0,0,43.01985,1,0,12.48,12,15,6.05,1.800058,.724069,3
130,1,-1.07881,0,0,-12,0,-1,35.13484,1,0,13,12,12,4.42,2.564949,1.07881,0
130,2,-1.07881,0,0,-12,0,-1,35.13484,1,0,13,12,12,4.42,1.48614,1.07881,0
131,1,,0,0,2,0,0,34.68309,1,1,149.5193,20,20,,5.007425,,0
131,2,,0,0,2,0,0,34.68309,1,1,149.5193,20,20,,,,0
132,1,.6733446,0,-1,3.583,0,0,24.83778,1,1,4.25,12,12,8.333333,1.446919,-.6733446,0
132,2,.6733446,0,-1,3.583,0,0,24.83778,1,1,4.25,12,12,8.333333,2.120264,-.6733446,0
133,1,-.1335314,-2,0,-1,-1,0,28.53114,1,0,8,14,12,7,2.079442,.1335315,2
133,2,-.1335314,-2,0,-1,-1,0,28.53114,1,0,8,12,14,7,1.94591,.1335315,2
134,1,-.3789842,-2,-2,-2,-1,0,27.27721,1,0,9.13,14,12,6.25,2.211566,.3789842,2
134,2,-.3789842,-2,-2,-2,-1,0,27.27721,1,0,9.13,12,14,6.25,1.832582,.3789842,2
135,1,.1009165,4,4,1,-1,0,43.42231,1,0,23.50422,16,20,26,3.15718,-.1009164,-4
135,2,.1009165,4,4,1,-1,0,43.42231,1,0,23.50422,20,16,26,3.258096,-.1009164,-4
136,1,1.280934,2,2,-6.5,0,1,31.76728,1,1,16.66667,16,18,60,2.813411,-1.280934,-2
136,2,1.280934,2,2,-6.5,0,1,31.76728,1,1,16.66667,18,16,60,4.094345,-1.280934,-2
137,1,,5,3,.334,0,0,27.94798,1,0,5.395161,13,18,,1.685502,,-5
